Supplementary data file  3: Differentially expressed genes,,,,,,,,,
Ensembl Gene ID,Gene Symbol,logFC,"95% Confidence Interval, lower bound","95% Confidence Interval,upper bound",Average Expression (pre-adjusted logCPM),t statistic,p-value,FDR estimate,B coefficient
ENSG00000254531,.,-1.33E-01,-2.16E-01,-4.96E-02,2.114,-3.137,1.80E-03,4.76E-02,-1.3690425
ENSG00000081019,RSBN1,6.71E-02,2.51E-02,1.09E-01,5.959,3.137,1.80E-03,4.76E-02,-1.5821706
ENSG00000176194,CIDEA,-1.52E-01,-2.47E-01,-5.69E-02,1.429,-3.137,1.80E-03,4.76E-02,-1.3536359
ENSG00000113448,PDE4D,6.90E-02,2.58E-02,1.12E-01,7.601,3.136,1.80E-03,4.76E-02,-1.5899379
ENSG00000198892,SHISA4,-1.04E-01,-1.69E-01,-3.89E-02,5.062,-3.136,1.80E-03,4.76E-02,-1.5471608
ENSG00000163719,MTMR14,-7.76E-02,-1.26E-01,-2.90E-02,3.994,-3.134,1.81E-03,4.78E-02,-1.4891615
ENSG00000144747,TMF1,6.51E-02,2.43E-02,1.06E-01,6.455,3.134,1.81E-03,4.78E-02,-1.5978338
ENSG00000148334,PTGES2,-1.03E-01,-1.67E-01,-3.83E-02,5.258,-3.131,1.83E-03,4.79E-02,-1.5678556
ENSG00000133961,NUMB,7.71E-02,2.87E-02,1.26E-01,5.104,3.131,1.83E-03,4.79E-02,-1.5673872
ENSG00000205155,PSENEN,-1.32E-01,-2.15E-01,-4.92E-02,3.338,-3.131,1.83E-03,4.79E-02,-1.4502229
ENSG00000048052,HDAC9,7.25E-02,2.70E-02,1.18E-01,6.434,3.131,1.83E-03,4.79E-02,-1.6044622
ENSG00000157542,KCNJ6,1.05E-01,3.93E-02,1.72E-01,4.511,3.131,1.83E-03,4.79E-02,-1.5357837
ENSG00000117411,B4GALT2,-1.02E-01,-1.66E-01,-3.79E-02,5.088,-3.131,1.83E-03,4.79E-02,-1.5615567
ENSG00000173575,CHD2,5.64E-02,2.10E-02,9.19E-02,7.912,3.13,1.84E-03,4.79E-02,-1.6066655
ENSG00000196850,PPTC7,8.93E-02,3.32E-02,1.45E-01,5.415,3.13,1.84E-03,4.79E-02,-1.5861057
ENSG00000105472,CLEC11A,-1.69E-01,-2.74E-01,-6.27E-02,1.05,-3.129,1.84E-03,4.79E-02,-1.3739783
ENSG00000120694,HSPH1,1.32E-01,4.91E-02,2.15E-01,8.559,3.128,1.85E-03,4.79E-02,-1.6064482
ENSG00000129009,ISLR,-1.25E-01,-2.03E-01,-4.64E-02,3.227,-3.127,1.86E-03,4.81E-02,-1.4523216
ENSG00000133561,GIMAP6,-1.73E-01,-2.82E-01,-6.42E-02,3.243,-3.125,1.87E-03,4.83E-02,-1.4644008
ENSG00000180801,ARSJ,1.10E-01,4.07E-02,1.78E-01,3.082,3.124,1.87E-03,4.83E-02,-1.4540274
ENSG00000141485,SLC13A5,-2.15E-01,-3.50E-01,-7.99E-02,2.081,-3.124,1.87E-03,4.83E-02,-1.4010291
ENSG00000221990,C5orf55,-1.30E-01,-2.12E-01,-4.83E-02,1.908,-3.123,1.88E-03,4.84E-02,-1.3987065
ENSG00000119383,PPP2R4,-7.91E-02,-1.29E-01,-2.94E-02,7.325,-3.123,1.88E-03,4.84E-02,-1.6306029
ENSG00000184999,SLC22A10,-1.25E-01,-2.04E-01,-4.65E-02,1.752,-3.122,1.89E-03,4.84E-02,-1.3978766
ENSG00000143774,GUK1,-9.83E-02,-1.60E-01,-3.65E-02,7.652,-3.121,1.89E-03,4.85E-02,-1.6344835
ENSG00000249717,.,2.08E-01,7.69E-02,3.38E-01,5.17E-01,3.12,1.90E-03,4.85E-02,-1.4103769
ENSG00000196358,NTNG2,-1.14E-01,-1.85E-01,-4.21E-02,4.277,-3.12,1.90E-03,4.85E-02,-1.5470589
ENSG00000100767,PAPLN,-1.64E-01,-2.68E-01,-6.09E-02,4.303,-3.119,1.91E-03,4.85E-02,-1.5513941
ENSG00000102081,FMR1,7.39E-02,2.74E-02,1.21E-01,7.056,3.119,1.91E-03,4.85E-02,-1.6443901
ENSG00000168772,CXXC4,1.06E-01,3.92E-02,1.72E-01,5.634,3.119,1.91E-03,4.85E-02,-1.6265569
ENSG00000247572,.,1.07E-01,3.94E-02,1.74E-01,2.556,3.117,1.92E-03,4.85E-02,-1.44106
ENSG00000214216,IQCJ,1.71E-01,6.31E-02,2.78E-01,2.406,3.117,1.92E-03,4.85E-02,-1.4340325
ENSG00000020577,SAMD4A,1.08E-01,4.00E-02,1.76E-01,5.487,3.117,1.92E-03,4.85E-02,-1.6265049
ENSG00000159069,FBXW5,-9.99E-02,-1.63E-01,-3.69E-02,6.093,-3.116,1.93E-03,4.87E-02,-1.6409353
ENSG00000100100,PIK3IP1,-1.15E-01,-1.88E-01,-4.26E-02,5.72,-3.114,1.94E-03,4.88E-02,-1.6402117
ENSG00000125864,BFSP1,-1.30E-01,-2.12E-01,-4.81E-02,1.71,-3.114,1.94E-03,4.88E-02,-1.4205064
ENSG00000158008,EXTL1,-1.34E-01,-2.18E-01,-4.93E-02,4.718,-3.114,1.94E-03,4.88E-02,-1.5919996
ENSG00000138641,HERC3,5.38E-02,1.99E-02,8.78E-02,6.176,3.112,1.95E-03,4.90E-02,-1.6594769
ENSG00000198797,FAM5B,-6.97E-02,-1.14E-01,-2.57E-02,6.069,-3.112,1.95E-03,4.90E-02,-1.6549624
ENSG00000121274,PAPD5,8.44E-02,3.11E-02,1.38E-01,5.284,3.111,1.96E-03,4.90E-02,-1.6367364
ENSG00000136381,IREB2,7.45E-02,2.74E-02,1.22E-01,6.909,3.11,1.96E-03,4.90E-02,-1.6697217
ENSG00000211584,SLC48A1,-1.02E-01,-1.66E-01,-3.75E-02,5.695,-3.109,1.97E-03,4.91E-02,-1.6543986
ENSG00000133640,LRRIQ1,1.49E-01,5.48E-02,2.43E-01,2.425,3.109,1.97E-03,4.91E-02,-1.46088
ENSG00000174939,ASPHD1,-1.27E-01,-2.08E-01,-4.68E-02,4.668,-3.106,1.99E-03,4.95E-02,-1.614145
ENSG00000204099,NEU4,-1.68E-01,-2.75E-01,-6.18E-02,1.793,-3.105,1.99E-03,4.95E-02,-1.4455981
ENSG00000137075,RNF38,7.58E-02,2.79E-02,1.24E-01,6.318,3.105,2.00E-03,4.95E-02,-1.6828542
ENSG00000110200,ANAPC15,-9.08E-02,-1.48E-01,-3.34E-02,2.708,-3.105,2.00E-03,4.95E-02,-1.4864509
ENSG00000164070,HSPA4L,1.04E-01,3.83E-02,1.71E-01,7.233,3.104,2.01E-03,4.96E-02,-1.688396
ENSG00000077044,DGKD,7.07E-02,2.60E-02,1.15E-01,4.767,3.104,2.01E-03,4.96E-02,-1.629374
ENSG00000100577,GSTZ1,-1.08E-01,-1.77E-01,-3.97E-02,3.433,-3.101,2.02E-03,4.96E-02,-1.5438303
ENSG00000075711,DLG1,6.28E-02,2.30E-02,1.03E-01,7.738,3.1,2.03E-03,4.96E-02,-1.6969156
ENSG00000226124,.,-1.05E-01,-1.72E-01,-3.85E-02,2.057,-3.099,2.04E-03,4.96E-02,-1.4707473
ENSG00000173517,.,8.40E-02,3.08E-02,1.37E-01,6.941,3.099,2.04E-03,4.96E-02,-1.7037923
ENSG00000072364,AFF4,6.70E-02,2.45E-02,1.09E-01,7.855,3.098,2.04E-03,4.96E-02,-1.701337
ENSG00000145715,RASA1,6.87E-02,2.51E-02,1.12E-01,6.702,3.098,2.04E-03,4.96E-02,-1.704673
ENSG00000204396,VWA7,-1.57E-01,-2.56E-01,-5.74E-02,2.22,-3.098,2.04E-03,4.96E-02,-1.4783942
ENSG00000175283,DOLK,-9.40E-02,-1.54E-01,-3.44E-02,2.799,-3.098,2.05E-03,4.96E-02,-1.5119879
ENSG00000178184,PARD6G,1.39E-01,5.08E-02,2.27E-01,2.532,3.097,2.05E-03,4.96E-02,-1.4970721
ENSG00000049449,RCN1,9.93E-02,3.63E-02,1.62E-01,5.428,3.097,2.05E-03,4.96E-02,-1.6808064
ENSG00000145780,FEM1C,6.90E-02,2.52E-02,1.13E-01,7.05,3.096,2.06E-03,4.96E-02,-1.7111934
ENSG00000205765,C5orf51,7.88E-02,2.88E-02,1.29E-01,5.866,3.096,2.06E-03,4.96E-02,-1.7000705
ENSG00000126814,TRMT5,5.60E-02,2.05E-02,9.16E-02,4.68,3.096,2.06E-03,4.96E-02,-1.6495176
ENSG00000113163,COL4A3BP,7.01E-02,2.56E-02,1.15E-01,6.866,3.096,2.06E-03,4.96E-02,-1.7127174
ENSG00000084636,COL16A1,-1.29E-01,-2.11E-01,-4.71E-02,5.562,-3.095,2.06E-03,4.96E-02,-1.6874359
ENSG00000164023,SGMS2,1.08E-01,3.96E-02,1.77E-01,3.035,3.095,2.06E-03,4.96E-02,-1.5352038
ENSG00000178568,ERBB4,8.40E-02,3.07E-02,1.37E-01,8.116,3.095,2.06E-03,4.96E-02,-1.7082845
ENSG00000121753,BAI2,-1.20E-01,-1.95E-01,-4.36E-02,7.072,-3.095,2.07E-03,4.96E-02,-1.7146492
ENSG00000214113,LYRM4,-7.56E-02,-1.24E-01,-2.76E-02,4.719,-3.095,2.07E-03,4.96E-02,-1.6504484
ENSG00000163382,APOA1BP,-9.16E-02,-1.50E-01,-3.34E-02,5.136,-3.094,2.07E-03,4.97E-02,-1.674094
ENSG00000143375,CGN,1.24E-01,4.52E-02,2.03E-01,1.907,3.092,2.08E-03,4.98E-02,-1.4847353
ENSG00000197728,RPS26,-1.68E-01,-2.75E-01,-6.14E-02,5.308,-3.092,2.08E-03,4.98E-02,-1.688767
ENSG00000070526,ST6GALNAC1,-2.07E-01,-3.39E-01,-7.55E-02,2.25E-01,-3.091,2.09E-03,4.98E-02,-1.4968971
ENSG00000198728,LDB1,-9.73E-02,-1.59E-01,-3.55E-02,4.923,-3.091,2.09E-03,4.98E-02,-1.6732975
ENSG00000086712,TXLNG,5.66E-02,2.07E-02,9.26E-02,5.007,3.091,2.09E-03,4.98E-02,-1.6821907
ENSG00000110367,DDX6,6.17E-02,2.25E-02,1.01E-01,8.717,3.091,2.09E-03,4.98E-02,-1.7162721
ENSG00000105877,DNAH11,1.71E-01,6.24E-02,2.80E-01,1.152,3.089,2.11E-03,5.00E-02,-1.4843566
ENSG00000082512,TRAF5,9.79E-02,3.56E-02,1.60E-01,3.799,3.089,2.11E-03,5.00E-02,-1.6090648
