Supplementary data file  3: Differentially expressed genes,,,,,,,,,
Ensembl Gene ID,Gene Symbol,logFC,"95% Confidence Interval, lower bound","95% Confidence Interval,upper bound",Average Expression (pre-adjusted logCPM),t statistic,p-value,FDR estimate,B coefficient
ENSG00000080224,EPHA6,1.10E-01,5.39E-02,1.65E-01,5.882,3.867,1.23E-04,1.42E-02,0.8466517
ENSG00000269337,.,-1.53E-01,-2.32E-01,-7.54E-02,3.638,-3.863,1.25E-04,1.42E-02,0.9116753
ENSG00000145920,CPLX2,-1.33E-01,-2.00E-01,-6.51E-02,8.916,-3.863,1.25E-04,1.42E-02,0.8298431
ENSG00000225978,HAR1A,-1.77E-01,-2.67E-01,-8.67E-02,3.171,-3.858,1.27E-04,1.42E-02,0.9066086
ENSG00000174403,C20orf166-AS1,-2.42E-01,-3.66E-01,-1.19E-01,2.98E-01,-3.857,1.28E-04,1.42E-02,0.7596805
ENSG00000136205,TNS3,-1.76E-01,-2.66E-01,-8.65E-02,6.487,-3.856,1.28E-04,1.42E-02,0.8000549
ENSG00000251602,.,-1.43E-01,-2.16E-01,-7.02E-02,1.039,-3.856,1.28E-04,1.42E-02,0.8365106
ENSG00000183340,JRKL,9.57E-02,4.69E-02,1.44E-01,3.841,3.856,1.29E-04,1.42E-02,0.8753302
ENSG00000132622,HSPA12B,-1.91E-01,-2.89E-01,-9.37E-02,1.53,-3.852,1.30E-04,1.42E-02,0.8655069
ENSG00000129103,SUMF2,-1.05E-01,-1.58E-01,-5.12E-02,5.496,-3.85,1.31E-04,1.42E-02,0.7944694
ENSG00000152467,ZSCAN1,-1.89E-01,-2.85E-01,-9.25E-02,6.77E-01,-3.847,1.33E-04,1.42E-02,0.7610991
ENSG00000169213,RAB3B,1.55E-01,7.57E-02,2.34E-01,6.274,3.846,1.33E-04,1.42E-02,0.7656581
ENSG00000198160,MIER1,1.04E-01,5.06E-02,1.57E-01,6.025,3.841,1.36E-04,1.42E-02,0.7460661
ENSG00000108641,B9D1,-1.34E-01,-2.03E-01,-6.57E-02,3.241,-3.841,1.36E-04,1.42E-02,0.8445467
ENSG00000145451,GLRA3,1.66E-01,8.12E-02,2.51E-01,6.812,3.839,1.37E-04,1.42E-02,0.7343055
ENSG00000215375,MYL5,-1.80E-01,-2.72E-01,-8.77E-02,2.343,-3.838,1.38E-04,1.42E-02,0.8440765
ENSG00000154928,EPHB1,-1.23E-01,-1.85E-01,-5.98E-02,4.129,-3.838,1.38E-04,1.42E-02,0.801786
ENSG00000106299,WASL,1.25E-01,6.12E-02,1.90E-01,7.28,3.837,1.38E-04,1.42E-02,0.7271394
ENSG00000010361,FUZ,-1.20E-01,-1.81E-01,-5.84E-02,3.705,-3.836,1.39E-04,1.42E-02,0.8136734
ENSG00000103260,METRN,-2.01E-01,-3.04E-01,-9.78E-02,5.568,-3.828,1.43E-04,1.46E-02,0.7135984
ENSG00000162623,TYW3,1.12E-01,5.46E-02,1.70E-01,5.288,3.827,1.44E-04,1.46E-02,0.7146384
ENSG00000138018,EPT1,9.93E-02,4.83E-02,1.50E-01,7.524,3.825,1.45E-04,1.46E-02,0.684276
ENSG00000230551,.,1.32E-01,6.43E-02,2.00E-01,5.227,3.822,1.47E-04,1.47E-02,0.6990131
ENSG00000175556,LONRF3,1.38E-01,6.67E-02,2.09E-01,3.626,3.813,1.52E-04,1.51E-02,0.7320578
ENSG00000162241,SLC25A45,-1.46E-01,-2.21E-01,-7.07E-02,1.975,-3.812,1.53E-04,1.51E-02,0.7434648
ENSG00000167103,PIP5KL1,-1.79E-01,-2.71E-01,-8.64E-02,4.34E-01,-3.807,1.56E-04,1.53E-02,0.6121858
ENSG00000198380,GFPT1,8.57E-02,4.15E-02,1.30E-01,6.794,3.802,1.59E-04,1.54E-02,0.6019166
ENSG00000102531,FNDC3A,6.96E-02,3.36E-02,1.06E-01,7.23,3.802,1.59E-04,1.54E-02,0.5990659
ENSG00000130653,PNPLA7,-1.76E-01,-2.67E-01,-8.51E-02,3.348,-3.801,1.59E-04,1.54E-02,0.7036989
ENSG00000235863,B3GALT4,-1.32E-01,-2.01E-01,-6.39E-02,2.096,-3.799,1.61E-04,1.54E-02,0.7034846
ENSG00000115073,ACTR1B,-1.32E-01,-2.00E-01,-6.36E-02,6.719,-3.796,1.63E-04,1.54E-02,0.5817323
ENSG00000105048,TNNT1,-2.20E-01,-3.33E-01,-1.06E-01,1.758,-3.796,1.63E-04,1.54E-02,0.6835514
ENSG00000198146,ZNF770,8.97E-02,4.33E-02,1.36E-01,7.128,3.795,1.63E-04,1.54E-02,0.5744484
ENSG00000173452,TMEM196,1.28E-01,6.17E-02,1.94E-01,4.843,3.794,1.64E-04,1.54E-02,0.6117312
ENSG00000125462,C1orf61,-1.44E-01,-2.19E-01,-6.95E-02,7.216,-3.792,1.65E-04,1.54E-02,0.5646356
ENSG00000228801,.,-1.44E-01,-2.19E-01,-6.95E-02,9.98E-01,-3.789,1.68E-04,1.55E-02,0.608803
ENSG00000143322,ABL2,8.87E-02,4.27E-02,1.35E-01,6.806,3.788,1.68E-04,1.55E-02,0.5493757
ENSG00000144152,FBLN7,-1.84E-01,-2.80E-01,-8.85E-02,2.922,-3.782,1.72E-04,1.57E-02,0.6478068
ENSG00000171724,VAT1L,1.57E-01,7.53E-02,2.38E-01,5.159,3.782,1.72E-04,1.57E-02,0.5578571
ENSG00000166337,TAF10,-9.08E-02,-1.38E-01,-4.36E-02,4.258,-3.777,1.76E-04,1.58E-02,0.577654
