hill2019,davies2018,sniekers2017,savage2018,hatoum2022
SYT7,EIF3C,,HIST1H3J,NPAS3
STH,KLHL2,,ZNF165,NYAP2
FAM193A,RBM39,,ZSCAN9,BTN3A2
LRRC16A,HIST1H2AM,,ZKSCAN4,DOCK2
PTGER3,ROMO1,,PGBD1,PLCL1
GPM6A,NDUFAF3,,ZKSCAN3,CDC14B
PGBD1,FSCN3,,ZSCAN12,DEPDC1B
ITIH1,GCC1,,ZSCAN23,AGBL5
PTPRO,SERF2,,GPX6,IPO9
C5orf30,CCT7,,SCAND3,IMMP2L
RBM23,CWF19L1,,TRIM27,SZT2
KLHDC8B,HIST1H1T,,C6orf100,SMYD5
ELAVL2,SLC44A4,,ZNF311,NKAIN2
KCNJ3,CTPS1,,OR5V1,C5orf64
NR1D2,CYHR1,,OR12D3,SLC4A9
EHMT2,ARHGEF11,,OR11A1,SRA1
TMEM89,NOVA1,,UBD,EPB41
ZNF638,C3orf84,,GABBR1,SREBF1
MAP1LC3B,RALYL,,OR2H2,LRRC24
RASD2,COG5,,FILIP1,NOL4L
FAM160A1,BNC1,,SENP6,CUEDC2
C4orf45,CUEDC2,,MYO6,ATXN1L
NEK4,PSMG1,,POU3F2,OR2B2
PRMT5,HIST1H3C,,FBXL4,SPPL2C
PDIA6,MSH5,,FOXO3,PCDHA3
C11orf94,MSH5-SAPCD1,,ARID1B,PRKD1
CELSR3,DHH,,RPA3-AS1,RBMS1
CYP2D6,CCDC71,,GLCCI1,PROS1
SCAF11,BLOC1S2,,AVL9,MSMO1
C1QTNF4,SERINC4,,DDX56,CCDC93
ZSCAN9,HIST1H3J,,TMED4,ROMO1
CACNA2D2,ERLIN1,,ZMIZ2,DPYD
DEPDC1B,DPH2,,PPIA,VAC14
CTPS1,SCN2A,,H2AFV,MUSTN1
IL17D,FGF8,,PURB,NSF
TRIM38,PMEL,,CCM2,EFCAB5
CNOT4,ELL3,,AUTS2,TMCO6
MYBPC3,SLFNL1,,CALN1,NFKB2
MAPK8IP1,PURG,,KMT2E,SENP6
BAG5,EIF3CL,,SRPK2,EPHA5
ERBB4,TENM4,,GRM8,LRRC37A
PMEL,NRSN1,,ZNF800,HMGN4
FOXN3,MACROD1,,GCC1,C17orf47
NFIB,PCDH17,,ARF5,COG5
SLC17A1,PLCL2,,FSCN3,BAIAP2
EIF3CL,LRRC71,,PAX4,NSUN3
WRN,HPS6,,SND1,PELI1
NUDT9,ZNF131,,LRRC4,LNPEP
PTPRD,H1F0,,METTL2B,LMOD1
GPD2,FAM131A,,FAM71F2,VPS54
RNF4,ZNF318,,CALU,NRBF2
IGSF9B,NCOA2,,OPN1SW,ANK2
TTC29,LAMC2,,EXOC4,FLRT1
HIST1H2BJ,PDIA3,,LRGUK,PCBP2
CDH8,CC2D1B,,SGCZ,GABRG3
MSANTD1,TRIM10,,PURG,SLC39A13
NCAPG,CDKAL1,,WRN,ALOX5
CLCN2,RAPSN,,ARMC1,SPCS1
FBXO41,DCDC2,,MTFR1,ZNF609
DISP2,FNIP2,,PDE7A,EHBP1
SDCCAG8,SOX11,,RUNX1T1,OGFOD2
C7orf61,EHMT2,,RIMS2,MRC2
SKAP1,OR2J2,,TSNARE1,TCERG1L
SCN2A,SH3RF3,,BAI1,KCNH5
ZNF165,SCMH1,,FBXL6,AMBRA1
NDUFS3,SEH1L,,CPSF1,AP1G1
APOPT1,HYPK,,VPS28,ZNF324B
FAM180B,WRN,,TONSL,DTNBP1
C20orf112,NPAS1,,CYHR1,ZNF777
PEX16,DDX27,,KIFC2,CPE
PSORS1C1,ZMIZ2,,FOXH1,F2
SEMA6D,PTK7,,PPP1R16A,ANKS1B
C3orf84,RCBTB1,,GPT,DGKZ
CRTC2,MORC2,,RECQL4,CACNA2D2
HAUS4,ZKSCAN8,,LRRC14,GRIN3A
ZKSCAN8,YPEL4,,LRRC24,N6AMT2
TSC22D4,PLTP,,C8orf82,MAPK8IP1
CALU,GCAT,,ARHGAP39,MAPT
SLC26A6,CATSPER2,,ZNF251,BMPR2
STAG1,HIST1H2BO,,ZNF34,BAG5
KCNH5,PDE4D,,RPL8,USP19
HIST1H2AG,PPP2R4,,ZNF517,GJC1
ZNF804B,RNF182,,ZNF7,DVL3
TANK,TTBK1,,ELAVL2,TAPBP
PEX13,DERA,,PTCH1,ARTN
CUX1,NCAPG,,SLC35D2,SLC8A3
RBMS1,CLP1,,ZNF367,NSRP1
SREBF2,NKAIN2,,HABP4,OR8B3
PA2G4,HIST1H4A,,CDC14B,KANSL1
DPCD,LMOD1,,PHYHD1,ESRRG
ZSCAN16,RABGAP1L,,NUP188,ATG13
FBXW4,CEP192,,SH3GLB2,LRP1B
HES7,VWA7,,FAM73B,SRSF4
USP19,TMX2,,DOLPP1,TRIP4
RPEL1,ATG10,,CRAT,CDH7
MAN2A1,HIST1H2BC,,PPP2R4,RHEBL1
TMBIM6,TMBIM6,,IER5L,ARL17B
AURKB,ZNF311,,NRBF2,AP3B2
GADD45G,HEXIM1,,JMJD1C,METTL13
MARK3,CACNA1D,,REEP3,PCDHA4
KBTBD4,HBP1,,PPP1R3C,IPO13
PLTP,CCDC134,,TNKS2,KHK
TFB1M,FLRT1,,Mar-05,OR8G2
N6AMT2,DCAF5,,ERLIN1,RORA
ZNF335,SYNGR1,,CHUK,ZBTB22
TENM4,ATF7IP,,CWF19L1,GYLTL1B
ZNHIT3,PTPRD,,BLOC1S2,CHMP2A
HSF5,ESRRG,,BTRC,SIRPA
PAPOLG,TM6SF1,,FGF8,CR1L
LRPPRC,PHGR1,,NPM3,PTPRN2
SERPING1,ACOXL,,MGEA5,PITPNM2
GRID2,BOLL,,KCNIP2,LMF1
TANC2,SEMA3E,,C10orf76,TMEM170B
SCMH1,AGAP1,,HPS6,ASIC4
CELF1,ARL6IP4,,LDB1,SP4
PTPLB,TYW5,,PPRC1,PEX16
SCGN,NUP210L,,NOLC1,ZNF501
NYAP1,WWP2,,ELOVL3,MAN2A1
QARS,ARHGEF3,,PITX3,PSME4
GPR61,HIST1H2AB,,GBF1,PALM
SLC39A1,MRC2,,NFKB2,TULP4
HIST1H1C,SLC25A20,,PSD,GLRX2
TSNARE1,C11orf31,,FBXL15,FLOT2
H1F0,OGFOD2,,CUEDC2,PRMT7
GATAD2B,SYT7,,C10orf95,PFKFB4
CTNNA3,SMIM15,,TMEM180,DUSP11
KLC1,TTC29,,SORCS3,TINAGL1
RNF182,OR12D3,,GPR26,STH
SYNDIG1L,KIAA0319,,PPP2R2D,NUDT12
TBC1D29,GABRA4,,BNIP3,SLC25A20
MSMO1,SCG3,,JAKMIP3,NAT8B
SLC24A2,APBA1,,DPYSL4,HIST1H2BN
PTCH1,TMX2-CTNND1,,DDB2,RANGAP1
ZCWPW1,MARVELD3,,ACP2,LOC339862
DPYD,LCORL,,NR1H3,TRIM31
NME9,ZNF165,,MADD,SLC7A6OS
DCAF16,CDH8,,MYBPC3,OR8B2
KBTBD4,ROPN1,,SPI1,C4orf45
C12orf36,PALM,,SLC39A13,TMEM258
MTSS1L,ERCC8,,PSMC3,SLC6A4
OPN1SW,SSTR4,,RAPSN,ACSL5
DENND4B,CTNND1,,CELF1,NCOA2
KIAA0319,HIST1H2BB,,NDUFS3,MRAS
C11orf31,RAB11A,,PTPMT1,CUL9
PRPF40B,DISP2,,KBTBD4,TNRC18
WDR92,DPYD,,FAM180B,CDK2AP1
C18orf8,SBK1,,C1QTNF4,TROVE2
NOP14,ZNF800,,MTCH2,
LRRC4,FBXO41,,AGBL2,
TYW5,BLMH,,FNBP4,
SLCO3A1,HABP4,,NUP160,
PFDN6,ASIC4,,PTPRJ,
AJUBA,ELOVL7,,MACROD1,
TULP4,CD46,,FLRT1,
PPP1R35,C20orf173,,BAD,
HIST1H1E,HIST1H3A,,GPR137,
PTPMT1,MFAP1,,TENM4,
BBX,TBRG1,,FAM76B,
PDLIM7,ARSI,,CEP57,
SLC39A8,SLC6A4,,MTMR2,
PCCB,BAIAP2,,GRIA4,
WNT4,PHF2,,MSANTD4,
SLFNL1,CDH2,,NCAM1,
TRAF5,PAPOLG,,VWA5A,
PILRA,GRK6,,IGSF9B,
MORC2,ZSCAN16,,RERG,
MYH15,PRKAR2A,,PTPRO,
RGL2,GRIA4,,CACNB3,
IPO9,C6orf100,,CCDC65,
EPHA5,CEP250,,FKBP11,
CDSN,ARF5,,ARF3,
GOSR1,C2orf69,,WNT10B,
TFAP2B,DTNBP1,,DDN,
CTC1,PITPNM2,,PRKAG1,
VAC14,SMAP1,,KMT2D,
SPDYE3,PLEKHG7,,RHEBL1,
GCAT,VAC14,,LMBR1L,
FAM131A,ORC1,,TUBA1B,
,GPR22,,MARS,
,TRIM27,,OS9,
