genes,MAPPED_genes,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000109436,TBC1D9,9.36E-03,-8.53E-03,2.72E-02,6.945,1.028,3.04E-01,6.82E-01,-6.26251
ENSG00000066427,ATXN3,-1.13E-02,-3.29E-02,1.03E-02,6.045,-1.028,3.04E-01,6.82E-01,-6.20529
ENSG00000249459,ZNF286B,-3.00E-02,-8.72E-02,2.73E-02,2.293,-1.028,3.05E-01,6.82E-01,-5.54397
ENSG00000133935,C14orf1,1.86E-02,-1.69E-02,5.41E-02,3.675,1.028,3.05E-01,6.82E-01,-5.85486
ENSG00000130054,FAM155B,3.37E-02,-3.08E-02,9.82E-02,9.92E-01,1.028,3.05E-01,6.82E-01,-5.27125
ENSG00000196358,NTNG2,-2.02E-02,-5.88E-02,1.84E-02,4.277,-1.027,3.05E-01,6.82E-01,-5.96498
ENSG00000135637,CCDC142,1.73E-02,-1.58E-02,5.05E-02,2.662,1.027,3.05E-01,6.82E-01,-5.62944
ENSG00000163823,CCR1,4.51E-02,-4.12E-02,1.32E-01,1.802,1.027,3.05E-01,6.82E-01,-5.4878
ENSG00000170632,ARMC10,1.47E-02,-1.35E-02,4.29E-02,5.776,1.027,3.05E-01,6.82E-01,-6.18089
ENSG00000125485,DDX31,1.98E-02,-1.81E-02,5.78E-02,3.016,1.027,3.05E-01,6.82E-01,-5.70538
ENSG00000167992,VWCE,3.75E-02,-3.42E-02,1.09E-01,5.96E-01,1.027,3.05E-01,6.82E-01,-5.20443
ENSG00000225400,.,-4.16E-02,-1.21E-01,3.80E-02,1.64E-01,-1.027,3.05E-01,6.82E-01,-5.12333
ENSG00000100271,TTLL1,2.03E-02,-1.86E-02,5.93E-02,3.469,1.027,3.05E-01,6.82E-01,-5.81407
ENSG00000168067,MAP4K2,-1.46E-02,-4.25E-02,1.33E-02,4.477,-1.027,3.05E-01,6.82E-01,-5.99989
ENSG00000241343,RPL36A,-3.96E-02,-1.16E-01,3.62E-02,5.631,-1.027,3.05E-01,6.82E-01,-6.16198
ENSG00000078061,ARAF,2.33E-02,-2.13E-02,6.78E-02,2.422,1.027,3.05E-01,6.82E-01,-5.58322
ENSG00000110031,LPXN,2.07E-02,-1.89E-02,6.03E-02,3.18,1.026,3.05E-01,6.82E-01,-5.75133
ENSG00000149679,CABLES2,-2.21E-02,-6.45E-02,2.02E-02,2.298,-1.026,3.05E-01,6.83E-01,-5.55278
ENSG00000231312,.,1.55E-02,-1.42E-02,4.52E-02,4.722,1.026,3.05E-01,6.83E-01,-6.04815
ENSG00000251664,PCDHA12,2.88E-02,-2.64E-02,8.40E-02,1.822,1.026,3.05E-01,6.83E-01,-5.43893
ENSG00000161682,FAM171A2,2.41E-02,-2.21E-02,7.04E-02,4.188,1.026,3.06E-01,6.83E-01,-5.95952
ENSG00000168497,SDPR,5.01E-02,-4.59E-02,1.46E-01,3.746,1.025,3.06E-01,6.83E-01,-5.87608
ENSG00000231340,ACTG1P10,2.81E-02,-2.57E-02,8.19E-02,1.11,1.025,3.06E-01,6.83E-01,-5.29865
ENSG00000139780,METTL21C,-7.54E-02,-2.20E-01,6.92E-02,3.69E-01,-1.025,3.06E-01,6.84E-01,-5.18283
ENSG00000144028,SNRNP200,-1.14E-02,-3.33E-02,1.05E-02,6.748,-1.024,3.06E-01,6.84E-01,-6.25846
ENSG00000159055,MIS18A,2.05E-02,-1.88E-02,5.99E-02,2.332,1.024,3.06E-01,6.84E-01,-5.56886
ENSG00000257279,.,-3.77E-02,-1.10E-01,3.46E-02,4.59E-01,-1.024,3.06E-01,6.84E-01,-5.17991
ENSG00000266910,.,-3.68E-02,-1.07E-01,3.38E-02,4.96E-01,-1.024,3.06E-01,6.84E-01,-5.18789
ENSG00000186275,NBPF12,-3.00E-02,-8.75E-02,2.75E-02,3.053,-1.024,3.06E-01,6.84E-01,-5.71538
ENSG00000196422,PPP1R26,1.43E-02,-1.31E-02,4.16E-02,5.276,1.024,3.06E-01,6.84E-01,-6.12035
ENSG00000109452,INPP4B,1.23E-02,-1.13E-02,3.59E-02,5.84,1.024,3.06E-01,6.84E-01,-6.18854
ENSG00000120129,DUSP1,-5.23E-02,-1.53E-01,4.80E-02,4.811,-1.024,3.06E-01,6.84E-01,-6.06112
ENSG00000185291,IL3RA,-4.74E-02,-1.38E-01,4.36E-02,2.43E-01,-1.024,3.07E-01,6.84E-01,-5.15373
ENSG00000261033,.,-4.14E-02,-1.21E-01,3.81E-02,4.00E-01,-1.023,3.07E-01,6.84E-01,-5.20146
ENSG00000130294,KIF1A,-1.19E-02,-3.48E-02,1.10E-02,9.666,-1.023,3.07E-01,6.84E-01,-6.36297
ENSG00000125430,HS3ST3B1,-6.32E-02,-1.84E-01,5.81E-02,1.535,-1.023,3.07E-01,6.84E-01,-5.39353
ENSG00000123609,NMI,-3.65E-02,-1.07E-01,3.36E-02,1.2,-1.023,3.07E-01,6.84E-01,-5.33166
ENSG00000128908,INO80,-1.05E-02,-3.06E-02,9.64E-03,5.259,-1.023,3.07E-01,6.84E-01,-6.12552
ENSG00000131238,PPT1,-1.20E-02,-3.50E-02,1.10E-02,7.056,-1.023,3.07E-01,6.84E-01,-6.27625
ENSG00000163626,COX18,-1.54E-02,-4.49E-02,1.42E-02,4.453,-1.023,3.07E-01,6.84E-01,-6.00736
ENSG00000171298,GAA,1.90E-02,-1.75E-02,5.55E-02,4.349,1.023,3.07E-01,6.84E-01,-5.983
ENSG00000165660,FAM175B,-1.13E-02,-3.29E-02,1.04E-02,4.73,-1.023,3.07E-01,6.84E-01,-6.05253
ENSG00000148690,FRA10AC1,-2.58E-02,-7.53E-02,2.37E-02,4.907,-1.023,3.07E-01,6.84E-01,-6.08
ENSG00000132470,ITGB4,-4.26E-02,-1.24E-01,3.92E-02,4.73,-1.023,3.07E-01,6.84E-01,-6.04189
ENSG00000255220,DDX18P5,4.32E-02,-3.97E-02,1.26E-01,1.82E-01,1.023,3.07E-01,6.84E-01,-5.14867
ENSG00000166352,C11orf74,-1.46E-02,-4.26E-02,1.34E-02,4.243,-1.023,3.07E-01,6.84E-01,-5.97153
ENSG00000243452,NBPF15,3.36E-02,-3.09E-02,9.80E-02,1.94,1.023,3.07E-01,6.84E-01,-5.47112
ENSG00000204767,FAM196B,-2.69E-02,-7.87E-02,2.48E-02,1.924,-1.023,3.07E-01,6.84E-01,-5.47089
ENSG00000198265,HELZ,-8.67E-03,-2.53E-02,7.99E-03,7.369,-1.022,3.07E-01,6.84E-01,-6.29407
ENSG00000153827,TRIP12,-9.43E-03,-2.75E-02,8.69E-03,8.154,-1.022,3.07E-01,6.84E-01,-6.3238
ENSG00000157107,FCHO2,1.31E-02,-1.21E-02,3.83E-02,5.76,1.022,3.07E-01,6.84E-01,-6.18612
ENSG00000105085,MED26,2.11E-02,-1.95E-02,6.17E-02,1.957,1.022,3.07E-01,6.84E-01,-5.4775
ENSG00000145386,CCNA2,-3.14E-02,-9.18E-02,2.90E-02,1.747,-1.022,3.07E-01,6.84E-01,-5.43252
ENSG00000266118,.,4.91E-02,-4.53E-02,1.44E-01,5.94E-01,1.022,3.07E-01,6.84E-01,-5.20752
ENSG00000223459,FAM115B,3.84E-02,-3.54E-02,1.12E-01,1.953,1.022,3.07E-01,6.84E-01,-5.48211
ENSG00000146373,RNF217,-1.34E-02,-3.91E-02,1.24E-02,5.558,-1.022,3.07E-01,6.84E-01,-6.16513
ENSG00000204794,PGM5P1,-4.21E-02,-1.23E-01,3.88E-02,1.58E-01,-1.021,3.08E-01,6.84E-01,-5.13756
ENSG00000168906,MAT2A,-1.71E-02,-4.98E-02,1.57E-02,6.717,-1.021,3.08E-01,6.84E-01,-6.26088
ENSG00000180096,Sept-01,-3.21E-02,-9.38E-02,2.97E-02,1.227,-1.021,3.08E-01,6.84E-01,-5.32643
ENSG00000132953,XPO4,9.95E-03,-9.20E-03,2.91E-02,6.426,1.021,3.08E-01,6.84E-01,-6.24379
ENSG00000148343,FAM73B,1.25E-02,-1.16E-02,3.66E-02,4.738,1.02,3.08E-01,6.84E-01,-6.04963
ENSG00000100814,CCNB1IP1,1.75E-02,-1.62E-02,5.12E-02,4.804,1.02,3.08E-01,6.84E-01,-6.06487
ENSG00000233901,.,-4.42E-02,-1.29E-01,4.09E-02,5.21E-01,-1.02,3.08E-01,6.84E-01,-5.21381
ENSG00000137040,RANBP6,-1.12E-02,-3.28E-02,1.04E-02,6.866,-1.02,3.08E-01,6.84E-01,-6.26639
ENSG00000170899,GSTA4,-1.35E-02,-3.95E-02,1.25E-02,5.782,-1.02,3.08E-01,6.84E-01,-6.1809
ENSG00000108984,MAP2K6,-1.98E-02,-5.80E-02,1.84E-02,4.1,-1.02,3.08E-01,6.84E-01,-5.94709
ENSG00000228824,MIR4500HG,3.01E-02,-2.79E-02,8.80E-02,2.317,1.02,3.08E-01,6.84E-01,-5.57318
ENSG00000066294,CD84,3.41E-02,-3.15E-02,9.97E-02,2.995,1.02,3.08E-01,6.84E-01,-5.73449
ENSG00000017260,ATP2C1,-1.17E-02,-3.41E-02,1.08E-02,7.584,-1.02,3.08E-01,6.84E-01,-6.30486
ENSG00000075790,BCAP29,-1.13E-02,-3.31E-02,1.05E-02,7.299,-1.019,3.08E-01,6.85E-01,-6.29305
ENSG00000160785,SLC25A44,-1.34E-02,-3.93E-02,1.24E-02,5.055,-1.019,3.08E-01,6.85E-01,-6.09934
ENSG00000125814,NAPB,1.54E-02,-1.43E-02,4.50E-02,9.634,1.019,3.08E-01,6.85E-01,-6.3663
ENSG00000164117,FBXO8,1.36E-02,-1.26E-02,3.98E-02,4.388,1.019,3.09E-01,6.85E-01,-6.00254
ENSG00000258429,PDF,4.31E-02,-3.99E-02,1.26E-01,7.03E-01,1.019,3.09E-01,6.85E-01,-5.27048
ENSG00000132334,PTPRE,1.37E-02,-1.27E-02,4.00E-02,5.681,1.019,3.09E-01,6.85E-01,-6.17663
ENSG00000188747,NOXA1,2.90E-02,-2.69E-02,8.49E-02,2.202,1.019,3.09E-01,6.85E-01,-5.55226
ENSG00000198814,GK,1.57E-02,-1.46E-02,4.60E-02,4.137,1.019,3.09E-01,6.85E-01,-5.95849
ENSG00000139537,CCDC65,-2.92E-02,-8.54E-02,2.71E-02,2.085,-1.019,3.09E-01,6.85E-01,-5.50501
ENSG00000205659,LIN52,1.38E-02,-1.28E-02,4.05E-02,4.587,1.019,3.09E-01,6.85E-01,-6.03357
ENSG00000111775,COX6A1,-1.87E-02,-5.46E-02,1.73E-02,7.425,-1.019,3.09E-01,6.85E-01,-6.29443
ENSG00000183307,CECR6,-2.06E-02,-6.03E-02,1.91E-02,3.79,-1.019,3.09E-01,6.85E-01,-5.88491
ENSG00000161914,ZNF653,2.19E-02,-2.04E-02,6.42E-02,2.091,1.018,3.09E-01,6.85E-01,-5.53109
ENSG00000141337,ARSG,1.75E-02,-1.63E-02,5.14E-02,3.602,1.018,3.09E-01,6.85E-01,-5.85089
ENSG00000197879,MYO1C,2.05E-02,-1.91E-02,6.01E-02,3.14,1.018,3.09E-01,6.85E-01,-5.74609
ENSG00000180376,CCDC66,-1.32E-02,-3.88E-02,1.23E-02,5.653,-1.018,3.09E-01,6.85E-01,-6.17679
ENSG00000147862,NFIB,-1.32E-02,-3.87E-02,1.23E-02,7.236,-1.018,3.09E-01,6.85E-01,-6.29297
ENSG00000203879,GDI1,1.25E-02,-1.16E-02,3.67E-02,7.388,1.017,3.10E-01,6.85E-01,-6.29693
ENSG00000245498,.,3.45E-02,-3.21E-02,1.01E-01,1.607,1.017,3.10E-01,6.85E-01,-5.40448
ENSG00000175873,.,-3.42E-02,-1.00E-01,3.19E-02,8.25E-01,-1.017,3.10E-01,6.85E-01,-5.25698
ENSG00000175970,UNC119B,-1.28E-02,-3.75E-02,1.19E-02,5.144,-1.017,3.10E-01,6.85E-01,-6.11633
ENSG00000188419,CHM,-1.04E-02,-3.04E-02,9.65E-03,6.81,-1.017,3.10E-01,6.85E-01,-6.2701
ENSG00000189212,DPY19L2P1,-1.46E-02,-4.28E-02,1.36E-02,5.632,-1.017,3.10E-01,6.85E-01,-6.17198
ENSG00000176108,CHMP6,1.96E-02,-1.83E-02,5.74E-02,2.938,1.017,3.10E-01,6.85E-01,-5.70809
ENSG00000113621,TXNDC15,-1.19E-02,-3.48E-02,1.11E-02,6.329,-1.017,3.10E-01,6.85E-01,-6.2354
ENSG00000119411,BSPRY,4.76E-02,-4.44E-02,1.40E-01,1.114,1.017,3.10E-01,6.85E-01,-5.31352
ENSG00000115267,IFIH1,3.68E-02,-3.43E-02,1.08E-01,2.885,1.017,3.10E-01,6.85E-01,-5.69657
ENSG00000137960,GIPC2,-3.71E-02,-1.09E-01,3.46E-02,7.68E-01,-1.016,3.10E-01,6.86E-01,-5.24491
ENSG00000174996,KLC2,1.53E-02,-1.43E-02,4.49E-02,5.938,1.016,3.10E-01,6.86E-01,-6.20024
ENSG00000087253,LPCAT2,2.38E-02,-2.22E-02,6.99E-02,3.967,1.016,3.10E-01,6.86E-01,-5.93105
ENSG00000198121,LPAR1,2.79E-02,-2.60E-02,8.18E-02,6.667,1.016,3.10E-01,6.86E-01,-6.26205
ENSG00000245571,.,3.20E-02,-2.98E-02,9.38E-02,6.87E-01,1.016,3.10E-01,6.86E-01,-5.22989
ENSG00000186889,TMEM17,-2.18E-02,-6.40E-02,2.04E-02,2.866,-1.016,3.10E-01,6.86E-01,-5.70694
ENSG00000239779,WBP1,1.79E-02,-1.68E-02,5.26E-02,3.438,1.016,3.10E-01,6.86E-01,-5.81987
ENSG00000108786,HSD17B1,-2.07E-02,-6.07E-02,1.93E-02,2.643,-1.015,3.10E-01,6.86E-01,-5.63342
ENSG00000140807,NKD1,2.88E-02,-2.69E-02,8.46E-02,2.269,1.015,3.10E-01,6.86E-01,-5.56107
ENSG00000164188,RANBP3L,2.87E-02,-2.68E-02,8.42E-02,7.065,1.015,3.10E-01,6.86E-01,-6.28655
ENSG00000140598,EFTUD1,1.24E-02,-1.16E-02,3.65E-02,4.371,1.015,3.11E-01,6.86E-01,-6.00144
ENSG00000174282,ZBTB4,-1.15E-02,-3.39E-02,1.08E-02,6.668,-1.015,3.11E-01,6.86E-01,-6.26324
ENSG00000266340,.,2.40E-02,-2.24E-02,7.03E-02,2.267,1.015,3.11E-01,6.86E-01,-5.55728
ENSG00000133597,ADCK2,1.68E-02,-1.57E-02,4.92E-02,4.621,1.014,3.11E-01,6.87E-01,-6.03967
ENSG00000137309,HMGA1,1.82E-02,-1.71E-02,5.36E-02,3.917,1.014,3.11E-01,6.87E-01,-5.91802
ENSG00000111907,TPD52L1,-2.70E-02,-7.93E-02,2.53E-02,5.738,-1.014,3.11E-01,6.87E-01,-6.18818
ENSG00000171587,DSCAM,1.33E-02,-1.24E-02,3.89E-02,5.17,1.014,3.11E-01,6.87E-01,-6.11659
ENSG00000175387,SMAD2,-8.41E-03,-2.47E-02,7.89E-03,7.235,-1.014,3.11E-01,6.87E-01,-6.29762
ENSG00000124786,SLC35B3,-1.70E-02,-4.98E-02,1.59E-02,3.523,-1.014,3.11E-01,6.87E-01,-5.8387
ENSG00000169188,APEX2,-2.13E-02,-6.26E-02,2.00E-02,2.05,-1.013,3.12E-01,6.88E-01,-5.51267
ENSG00000065615,CYB5R4,-1.72E-02,-5.06E-02,1.62E-02,3.985,-1.013,3.12E-01,6.88E-01,-5.93653
ENSG00000100968,NFATC4,2.99E-02,-2.81E-02,8.79E-02,3.024,1.013,3.12E-01,6.88E-01,-5.73357
ENSG00000177674,AGTRAP,-2.64E-02,-7.75E-02,2.48E-02,2.109,-1.012,3.12E-01,6.88E-01,-5.53552
ENSG00000104388,RAB2A,-9.38E-03,-2.76E-02,8.82E-03,7.983,-1.012,3.12E-01,6.88E-01,-6.32686
ENSG00000138780,GSTCD,1.28E-02,-1.20E-02,3.75E-02,4.243,1.012,3.12E-01,6.88E-01,-5.98266
ENSG00000179091,CYC1,1.35E-02,-1.27E-02,3.98E-02,5.841,1.012,3.12E-01,6.88E-01,-6.19273
ENSG00000224309,ANKRD30BP2,7.37E-02,-6.93E-02,2.17E-01,-5.44E-02,1.012,3.12E-01,6.88E-01,-5.10915
ENSG00000169570,DTWD2,1.45E-02,-1.36E-02,4.26E-02,4.178,1.012,3.12E-01,6.88E-01,-5.97254
ENSG00000048471,SNX29,1.26E-02,-1.19E-02,3.71E-02,5.064,1.012,3.12E-01,6.88E-01,-6.10867
ENSG00000130770,ATPIF1,-2.26E-02,-6.63E-02,2.12E-02,4.931,-1.012,3.12E-01,6.88E-01,-6.08884
ENSG00000186280,KDM4D,3.15E-02,-2.96E-02,9.25E-02,8.69E-01,1.012,3.12E-01,6.88E-01,-5.27574
ENSG00000164823,OSGIN2,-1.66E-02,-4.88E-02,1.56E-02,5.719,-1.012,3.12E-01,6.88E-01,-6.19127
ENSG00000266805,.,4.47E-02,-4.21E-02,1.32E-01,-1.55E-02,1.012,3.12E-01,6.88E-01,-5.12867
ENSG00000205309,NT5M,-2.16E-02,-6.36E-02,2.04E-02,2.658,-1.012,3.12E-01,6.88E-01,-5.66089
ENSG00000174963,ZIC4,-3.60E-02,-1.06E-01,3.39E-02,1.83,-1.011,3.12E-01,6.88E-01,-5.46221
ENSG00000204091,TDRG1,-4.77E-02,-1.41E-01,4.50E-02,9.07E-02,-1.011,3.12E-01,6.88E-01,-5.14217
ENSG00000134480,CCNH,-1.10E-02,-3.24E-02,1.04E-02,6.231,-1.011,3.12E-01,6.88E-01,-6.23722
ENSG00000165695,AK8,-4.39E-02,-1.29E-01,4.14E-02,5.78E-01,-1.011,3.12E-01,6.88E-01,-5.21675
ENSG00000164167,LSM6,-2.10E-02,-6.18E-02,1.98E-02,3.302,-1.011,3.13E-01,6.88E-01,-5.80484
ENSG00000089063,TMEM230,-1.47E-02,-4.33E-02,1.39E-02,5.631,-1.011,3.13E-01,6.88E-01,-6.18028
ENSG00000116171,SCP2,-1.10E-02,-3.25E-02,1.04E-02,6.315,-1.011,3.13E-01,6.88E-01,-6.2442
ENSG00000010404,IDS,1.87E-02,-1.76E-02,5.50E-02,1.02E+01,1.011,3.13E-01,6.88E-01,-6.38788
ENSG00000151422,FER,-9.90E-03,-2.92E-02,9.34E-03,7.13,-1.011,3.13E-01,6.88E-01,-6.29476
ENSG00000110871,COQ5,-1.69E-02,-4.97E-02,1.59E-02,3.933,-1.011,3.13E-01,6.88E-01,-5.92611
ENSG00000233393,.,-4.75E-02,-1.40E-01,4.48E-02,7.78E-01,-1.01,3.13E-01,6.88E-01,-5.2529
ENSG00000178201,VN1R1,-3.65E-02,-1.07E-01,3.44E-02,1.722,-1.01,3.13E-01,6.88E-01,-5.43698
ENSG00000101321,XKR7,-3.42E-02,-1.01E-01,3.23E-02,8.35E-01,-1.01,3.13E-01,6.88E-01,-5.26657
ENSG00000104725,NEFL,-1.72E-02,-5.07E-02,1.63E-02,9.387,-1.01,3.13E-01,6.88E-01,-6.37019
ENSG00000173889,PHC3,-8.97E-03,-2.64E-02,8.48E-03,6.104,-1.01,3.13E-01,6.88E-01,-6.2281
ENSG00000075303,SLC25A40,-1.18E-02,-3.48E-02,1.12E-02,5.424,-1.01,3.13E-01,6.88E-01,-6.15972
ENSG00000181873,IBA57,-1.82E-02,-5.36E-02,1.72E-02,3.598,-1.009,3.13E-01,6.88E-01,-5.85264
ENSG00000115365,LANCL1,-1.20E-02,-3.53E-02,1.13E-02,8.849,-1.009,3.13E-01,6.88E-01,-6.3577
ENSG00000163344,PMVK,2.05E-02,-1.94E-02,6.02E-02,3.704,1.009,3.13E-01,6.88E-01,-5.88464
ENSG00000064692,SNCAIP,-2.41E-02,-7.11E-02,2.28E-02,2.662,-1.009,3.13E-01,6.88E-01,-5.64886
ENSG00000169100,SLC25A6,-1.61E-02,-4.73E-02,1.52E-02,6.649,-1.009,3.13E-01,6.88E-01,-6.26425
ENSG00000255910,.,-4.01E-02,-1.18E-01,3.80E-02,7.42E-01,-1.009,3.13E-01,6.88E-01,-5.24349
ENSG00000248905,FMN1,1.75E-02,-1.66E-02,5.15E-02,7.701,1.009,3.14E-01,6.88E-01,-6.32051
ENSG00000139531,SUOX,-1.62E-02,-4.78E-02,1.54E-02,3.713,-1.009,3.14E-01,6.88E-01,-5.87342
ENSG00000197444,OGDHL,-1.35E-02,-3.97E-02,1.28E-02,6.403,-1.009,3.14E-01,6.88E-01,-6.24602
ENSG00000186153,WWOX,-1.63E-02,-4.81E-02,1.55E-02,4.178,-1.009,3.14E-01,6.88E-01,-5.97154
ENSG00000135318,NT5E,2.62E-02,-2.48E-02,7.72E-02,4.551,1.008,3.14E-01,6.88E-01,-6.03795
ENSG00000251562,MALAT1,-1.62E-02,-4.78E-02,1.54E-02,1.26E+01,-1.008,3.14E-01,6.88E-01,-6.42768
ENSG00000143869,GDF7,-3.18E-02,-9.37E-02,3.01E-02,2.156,-1.008,3.14E-01,6.88E-01,-5.53667
ENSG00000185651,UBE2L3,-1.21E-02,-3.55E-02,1.14E-02,5.761,-1.008,3.14E-01,6.88E-01,-6.19466
ENSG00000215374,FAM66B,-4.78E-02,-1.41E-01,4.53E-02,2.566,-1.008,3.14E-01,6.88E-01,-5.62677
ENSG00000151838,CCDC175,2.97E-02,-2.82E-02,8.77E-02,1.548,1.008,3.14E-01,6.88E-01,-5.41027
ENSG00000079931,MOXD1,3.95E-02,-3.74E-02,1.16E-01,4.697,1.008,3.14E-01,6.88E-01,-6.06292
ENSG00000163386,NBPF10,-2.33E-02,-6.86E-02,2.21E-02,4.262,-1.008,3.14E-01,6.88E-01,-5.98413
ENSG00000140320,BAHD1,-1.68E-02,-4.94E-02,1.59E-02,3.789,-1.008,3.14E-01,6.88E-01,-5.89414
ENSG00000197747,S100A10,-4.81E-02,-1.42E-01,4.57E-02,1.309,-1.007,3.14E-01,6.89E-01,-5.37286
ENSG00000146830,GIGYF1,-1.33E-02,-3.91E-02,1.26E-02,5.04,-1.007,3.14E-01,6.89E-01,-6.10556
ENSG00000141219,C17orf80,-1.14E-02,-3.36E-02,1.08E-02,5.148,-1.007,3.14E-01,6.89E-01,-6.12789
ENSG00000036054,TBC1D23,-9.15E-03,-2.70E-02,8.70E-03,6.059,-1.007,3.14E-01,6.89E-01,-6.22704
ENSG00000154451,GBP5,7.46E-02,-7.10E-02,2.20E-01,2.20E-01,1.007,3.15E-01,6.89E-01,-5.16829
ENSG00000183309,ZNF623,-1.11E-02,-3.27E-02,1.06E-02,5.788,-1.007,3.15E-01,6.89E-01,-6.20153
ENSG00000249898,.,3.57E-02,-3.40E-02,1.05E-01,1.154,1.006,3.15E-01,6.89E-01,-5.31777
ENSG00000156253,RWDD2B,3.06E-02,-2.91E-02,9.02E-02,3.611,1.006,3.15E-01,6.89E-01,-5.87167
ENSG00000108604,SMARCD2,-1.73E-02,-5.10E-02,1.65E-02,4.008,-1.006,3.15E-01,6.89E-01,-5.94244
ENSG00000167543,TP53I13,2.16E-02,-2.06E-02,6.38E-02,2.735,1.006,3.15E-01,6.89E-01,-5.67485
ENSG00000140030,GPR65,4.93E-02,-4.70E-02,1.46E-01,2.65E-01,1.006,3.15E-01,6.89E-01,-5.1967
ENSG00000154237,LRRK1,-1.91E-02,-5.63E-02,1.82E-02,4.575,-1.006,3.15E-01,6.89E-01,-6.0351
ENSG00000185324,CDK10,1.63E-02,-1.55E-02,4.81E-02,4.694,1.006,3.15E-01,6.89E-01,-6.05336
ENSG00000264515,.,3.71E-02,-3.53E-02,1.09E-01,1.13,1.006,3.15E-01,6.89E-01,-5.31937
ENSG00000243813,.,-4.40E-02,-1.30E-01,4.19E-02,3.66E-01,-1.006,3.15E-01,6.89E-01,-5.20384
ENSG00000232229,.,-5.60E-02,-1.65E-01,5.34E-02,2.317,-1.006,3.15E-01,6.89E-01,-5.5707
ENSG00000136810,TXN,-2.00E-02,-5.92E-02,1.91E-02,5.75,-1.006,3.15E-01,6.89E-01,-6.19376
ENSG00000172273,HINFP,1.42E-02,-1.35E-02,4.20E-02,4.235,1.005,3.15E-01,6.89E-01,-5.98164
ENSG00000163312,HELQ,-1.21E-02,-3.57E-02,1.15E-02,4.372,-1.005,3.15E-01,6.89E-01,-6.01044
ENSG00000213859,KCTD11,3.55E-02,-3.38E-02,1.05E-01,7.23E-01,1.005,3.15E-01,6.89E-01,-5.25084
ENSG00000256771,ZNF253,-1.55E-02,-4.59E-02,1.48E-02,4.554,-1.005,3.15E-01,6.89E-01,-6.04259
ENSG00000132612,VPS4A,-1.03E-02,-3.04E-02,9.80E-03,5.92,-1.005,3.15E-01,6.89E-01,-6.21234
ENSG00000240747,KRBOX1,-4.16E-02,-1.23E-01,3.98E-02,1.118,-1.005,3.16E-01,6.89E-01,-5.32362
ENSG00000005022,SLC25A5,-2.11E-02,-6.24E-02,2.02E-02,5.505,-1.005,3.16E-01,6.89E-01,-6.16653
ENSG00000165475,CRYL1,1.51E-02,-1.44E-02,4.45E-02,5.221,1.005,3.16E-01,6.89E-01,-6.13879
ENSG00000181789,COPG1,-1.09E-02,-3.23E-02,1.05E-02,6.292,-1.004,3.16E-01,6.89E-01,-6.24481
ENSG00000183066,WBP2NL,3.41E-02,-3.26E-02,1.01E-01,2.23,1.004,3.16E-01,6.89E-01,-5.55342
ENSG00000105866,SP4,1.19E-02,-1.13E-02,3.50E-02,5.524,1.004,3.16E-01,6.89E-01,-6.17823
ENSG00000113811,.,1.73E-02,-1.65E-02,5.10E-02,5.318,1.004,3.16E-01,6.89E-01,-6.15271
ENSG00000249115,HAUS5,2.45E-02,-2.34E-02,7.23E-02,2.265,1.004,3.16E-01,6.89E-01,-5.56015
ENSG00000114859,CLCN2,-2.14E-02,-6.33E-02,2.05E-02,2.418,-1.004,3.16E-01,6.89E-01,-5.59735
ENSG00000073111,MCM2,2.37E-02,-2.27E-02,7.01E-02,2.696,1.004,3.16E-01,6.89E-01,-5.67056
ENSG00000104044,OCA2,-2.49E-02,-7.36E-02,2.38E-02,3.261,-1.004,3.16E-01,6.89E-01,-5.79012
ENSG00000163931,TKT,-1.63E-02,-4.81E-02,1.56E-02,6.497,-1.004,3.16E-01,6.90E-01,-6.25944
ENSG00000082996,RNF13,-1.12E-02,-3.31E-02,1.07E-02,7.125,-1.003,3.16E-01,6.90E-01,-6.30116
ENSG00000269737,.,-4.36E-02,-1.29E-01,4.18E-02,1.87E-01,-1.003,3.16E-01,6.90E-01,-5.15476
ENSG00000255561,FDXACB1,2.91E-02,-2.79E-02,8.60E-02,1.186,1.003,3.16E-01,6.90E-01,-5.34066
ENSG00000131370,SH3BP5,1.81E-02,-1.74E-02,5.36E-02,4.012,1.003,3.16E-01,6.90E-01,-5.94726
ENSG00000147255,IGSF1,-3.83E-02,-1.13E-01,3.67E-02,2.296,-1.003,3.16E-01,6.90E-01,-5.57584
ENSG00000182903,ZNF721,-1.41E-02,-4.18E-02,1.35E-02,6.493,-1.003,3.16E-01,6.90E-01,-6.26551
ENSG00000120885,CLU,-1.62E-02,-4.78E-02,1.55E-02,1.01E+01,-1.003,3.17E-01,6.90E-01,-6.39337
ENSG00000168701,TMEM208,1.68E-02,-1.61E-02,4.96E-02,3.323,1.003,3.17E-01,6.90E-01,-5.81263
ENSG00000150773,PIH1D2,-3.33E-02,-9.84E-02,3.19E-02,9.35E-01,-1.003,3.17E-01,6.90E-01,-5.28456
ENSG00000107779,BMPR1A,-1.27E-02,-3.75E-02,1.22E-02,5.703,-1.003,3.17E-01,6.90E-01,-6.19878
ENSG00000247092,SNHG10,2.28E-02,-2.19E-02,6.76E-02,2.082,1.002,3.17E-01,6.90E-01,-5.524
ENSG00000231615,.,-3.38E-02,-1.00E-01,3.24E-02,1.071,-1.002,3.17E-01,6.90E-01,-5.32132
