genes,MAPPED_genes,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000181090,EHMT1,-4.15E-03,-2.73E-02,1.90E-02,4.867,-3.53E-01,7.24E-01,9.13E-01,-6.51988
ENSG00000215548,.,-2.32E-02,-1.52E-01,1.06E-01,-1.22E-02,-3.53E-01,7.24E-01,9.13E-01,-5.5125
ENSG00000218226,TATDN2P2,1.10E-02,-5.03E-02,7.23E-02,1.361,3.53E-01,7.24E-01,9.13E-01,-5.78114
ENSG00000120709,FAM53C,4.79E-03,-2.19E-02,3.15E-02,5.708,3.53E-01,7.25E-01,9.13E-01,-6.62964
ENSG00000234358,.,1.54E-02,-7.03E-02,1.01E-01,1.06E-01,3.52E-01,7.25E-01,9.13E-01,-5.53061
ENSG00000182325,FBXL6,8.46E-03,-3.87E-02,5.56E-02,1.947,3.52E-01,7.25E-01,9.13E-01,-5.92164
ENSG00000173812,EIF1,-5.34E-03,-3.51E-02,2.45E-02,7.28,-3.52E-01,7.25E-01,9.13E-01,-6.74497
ENSG00000110047,EHD1,-6.40E-03,-4.21E-02,2.93E-02,3.826,-3.52E-01,7.25E-01,9.13E-01,-6.33687
ENSG00000126001,CEP250,4.60E-03,-2.11E-02,3.03E-02,5.514,3.52E-01,7.25E-01,9.13E-01,-6.60625
ENSG00000130309,GLT25D1,5.61E-03,-2.57E-02,3.69E-02,4.063,3.52E-01,7.25E-01,9.13E-01,-6.38272
ENSG00000160789,LMNA,6.85E-03,-3.14E-02,4.51E-02,4.488,3.52E-01,7.25E-01,9.13E-01,-6.46692
ENSG00000184838,PRR16,-1.28E-02,-8.43E-02,5.87E-02,6.48E-01,-3.52E-01,7.25E-01,9.13E-01,-5.62456
ENSG00000163618,CADPS,-4.11E-03,-2.71E-02,1.88E-02,8.14,-3.52E-01,7.25E-01,9.13E-01,-6.77805
ENSG00000164972,C9orf24,1.08E-02,-4.94E-02,7.09E-02,2.161,3.51E-01,7.26E-01,9.13E-01,-5.99177
ENSG00000268334,.,1.63E-02,-7.49E-02,1.08E-01,5.48E-02,3.51E-01,7.26E-01,9.13E-01,-5.52431
ENSG00000162980,ARL5A,-3.68E-03,-2.43E-02,1.69E-02,7.094,-3.51E-01,7.26E-01,9.14E-01,-6.73686
ENSG00000132004,FBXW9,7.81E-03,-3.60E-02,5.16E-02,1.816,3.51E-01,7.26E-01,9.14E-01,-5.89433
ENSG00000087303,NID2,6.96E-03,-3.20E-02,4.60E-02,3.024,3.51E-01,7.26E-01,9.14E-01,-6.16372
ENSG00000165669,FAM204A,-3.55E-03,-2.34E-02,1.63E-02,6.451,-3.50E-01,7.26E-01,9.14E-01,-6.69511
ENSG00000185379,RAD51D,-5.88E-03,-3.89E-02,2.71E-02,2.767,-3.50E-01,7.26E-01,9.14E-01,-6.10299
ENSG00000165300,SLITRK5,-5.05E-03,-3.34E-02,2.33E-02,5.636,-3.50E-01,7.27E-01,9.14E-01,-6.62073
ENSG00000237289,CKMT1B,1.22E-02,-5.63E-02,8.07E-02,3.367,3.50E-01,7.27E-01,9.14E-01,-6.23215
ENSG00000197140,ADAM32,6.40E-03,-2.95E-02,4.23E-02,4.582,3.50E-01,7.27E-01,9.14E-01,-6.48332
ENSG00000267058,.,-8.03E-03,-5.32E-02,3.71E-02,2.436,-3.50E-01,7.27E-01,9.14E-01,-6.02037
ENSG00000105865,DUS4L,5.30E-03,-2.45E-02,3.51E-02,3.281,3.50E-01,7.27E-01,9.14E-01,-6.22778
ENSG00000128915,NARG2,-3.16E-03,-2.09E-02,1.46E-02,5.675,-3.49E-01,7.27E-01,9.14E-01,-6.63068
ENSG00000234198,.,-1.52E-02,-1.01E-01,7.04E-02,4.57E-02,-3.49E-01,7.27E-01,9.14E-01,-5.51486
ENSG00000181852,RNF41,4.21E-03,-1.95E-02,2.79E-02,6.731,3.49E-01,7.27E-01,9.14E-01,-6.71215
ENSG00000141698,NT5C3L,-5.22E-03,-3.46E-02,2.42E-02,5.466,-3.49E-01,7.27E-01,9.15E-01,-6.59967
ENSG00000120738,EGR1,2.00E-02,-9.26E-02,1.33E-01,3.783,3.48E-01,7.28E-01,9.15E-01,-6.33275
ENSG00000115514,TXNDC9,-4.49E-03,-2.98E-02,2.08E-02,5.022,-3.48E-01,7.28E-01,9.15E-01,-6.54762
ENSG00000163431,LMOD1,-1.47E-02,-9.75E-02,6.81E-02,2.673,-3.48E-01,7.28E-01,9.15E-01,-6.08893
ENSG00000268575,.,1.78E-02,-8.24E-02,1.18E-01,2.942,3.48E-01,7.28E-01,9.15E-01,-6.14078
ENSG00000184007,PTP4A2,-5.23E-03,-3.48E-02,2.43E-02,8.75,-3.48E-01,7.28E-01,9.15E-01,-6.79978
ENSG00000266490,.,1.39E-02,-6.45E-02,9.23E-02,1.033,3.48E-01,7.28E-01,9.15E-01,-5.70307
ENSG00000163482,STK36,6.95E-03,-3.23E-02,4.62E-02,3.603,3.48E-01,7.28E-01,9.15E-01,-6.28044
ENSG00000227248,FAM155A-IT1,-1.15E-02,-7.63E-02,5.33E-02,1.177,-3.48E-01,7.28E-01,9.15E-01,-5.73671
ENSG00000162545,CAMK2N1,6.69E-03,-3.11E-02,4.45E-02,8.556,3.48E-01,7.28E-01,9.15E-01,-6.79378
ENSG00000155846,PPARGC1B,-5.51E-03,-3.67E-02,2.57E-02,4.837,-3.47E-01,7.29E-01,9.15E-01,-6.51898
