,label,gene,study
7289,SCZ,KCNA2,2
7294,SCZ,KCNC3,2
7305,SCZ,KCNJ6,2
7307,SCZ,KCNK1,3
7312,SCZ,KCNN1,2
7328,SCZ,KDM1B,2
7332,SCZ,KDM5A,2
7336,SCZ,KIAA0196,2
7339,SCZ,KIAA0922,2
7371,SCZ,KLF13,2
7373,SCZ,KLF5,2
7374,SCZ,KLHDC8B,2
7385,SCZ,KNDC1,2
7386,SCZ,KPNA5,2
7399,SCZ,L3MBTL3,2
7400,SCZ,L3MBTL4,2
7402,SCZ,LACTB,2
7407,SCZ,LAMTOR1,2
7409,SCZ,LANCL1,2
7420,SCZ,LCMT2,2
7435,SCZ,LEPROTL1,2
7468,SCZ,LINC00473,2
7473,SCZ,LINC00623,2
7475,SCZ,LINC00634,2
7514,SCZ,LMO2,2
7520,SCZ,LONRF3,2
7521,SCZ,LOX,3
7525,SCZ,LPAR6,2
7531,SCZ,LPL,2
7547,SCZ,LRRC17,2
7561,SCZ,LRRC8D,2
7562,SCZ,LRRIQ1,2
7565,SCZ,LRTM2,2
7571,SCZ,LST1,2
7583,SCZ,LYNX1,2
7587,SCZ,LYRM4,2
7604,SCZ,MAMLD1,2
7625,SCZ,MAP4K2,2
7635,SCZ,MARCH2,2
7655,SCZ,MC4R,3
7667,SCZ,MCRS1,2
7680,SCZ,MED28,3
7689,SCZ,MEIS3,2
7711,SCZ,MFSD6,2
7712,SCZ,MGA,3
7719,SCZ,MGEA5,2
7729,SCZ,MIER1,2
7760,SCZ,MMAA,2
7769,SCZ,MOB1B,2
7775,SCZ,MOSPD2,2
7776,SCZ,MPC1,2
7777,SCZ,MPDU1,2
7788,SCZ,MREG,2
7790,SCZ,MRGBP,2
7799,SCZ,MRPS30,2
7824,SCZ,MTDH,2
7835,SCZ,MTMR11,2
7837,SCZ,MTMR2,2
7849,SCZ,MXD1,2
7851,SCZ,MYADML2,2
7858,SCZ,MYL5,2
7860,SCZ,MYO16,2
7868,SCZ,N4BP2,4
7869,SCZ,N4BP3,2
7875,SCZ,NABP1,2
7880,SCZ,NANOS1,2
7902,SCZ,NDRG3,2
7914,SCZ,NECAB3,2
7927,SCZ,NEURL1B,2
7930,SCZ,NEUROD6,2
7943,SCZ,NGB,2
7949,SCZ,NICN1,2
7957,SCZ,NIT2,2
7975,SCZ,NOL4,2
7992,SCZ,NPHP1,2
8009,SCZ,NR4A2,2
8043,SCZ,NUDT18,2
8045,SCZ,NUDT22,2
8054,SCZ,NUS1,2
8059,SCZ,NXNL2,2
8069,SCZ,OLFM1,2
8074,SCZ,OLR1,2
8075,SCZ,OMG,2
8083,SCZ,OR1H1P,2
8104,SCZ,OTUD4,2
8115,SCZ,P4HA1,2
8132,SCZ,PANX2,2
8134,SCZ,PAPD5,2
8135,SCZ,PAPLN,2
8143,SCZ,PARD6G,2
8144,SCZ,PARM1,2
8147,SCZ,PASK,2
8155,SCZ,PCBP3,2
8182,SCZ,PDDC1,2
8202,SCZ,PDYN,2
8205,SCZ,PEG10,3
8214,SCZ,PFDN1,2
8218,SCZ,PGBD2,2
8223,SCZ,PGP,3
8227,SCZ,PHC3,2
8265,SCZ,PIP5KL1,2
8272,SCZ,PKMP3,2
8273,SCZ,PKMYT1,2
8285,SCZ,PLCG2,2
8289,SCZ,PLD4,2
8321,SCZ,PLXNC1,2
8322,SCZ,PM20D2,2
8324,SCZ,PMEPA1,2
8325,SCZ,PMF1,2
8340,SCZ,POGLUT1,2
8358,SCZ,PPAT,2
8362,SCZ,PPIL6,2
8370,SCZ,PPP1R12C,2
8376,SCZ,PPP1R1B,2
8397,SCZ,PRICKLE2,2
8403,SCZ,PRKCDBP,2
8417,SCZ,PRODH,2
8430,SCZ,PRRC1,2
8432,SCZ,PRRT3,2
8434,SCZ,PRSS35,2
8452,SCZ,PTBP3,2
8454,SCZ,PTER,2
8457,SCZ,PTGS1,2
8471,SCZ,PTPRE,2
8476,SCZ,PTRHD1,2
8496,SCZ,QARS,2
8502,SCZ,RAB11FIP1,2
8507,SCZ,RAB21,2
8508,SCZ,RAB22A,2
8515,SCZ,RAB3C,2
8518,SCZ,RAB40C,2
8537,SCZ,RAMP2,2
8538,SCZ,RAMP3,2
8571,SCZ,RBMX2,2
8575,SCZ,RC3H1,2
8580,SCZ,RCN1,2
8583,SCZ,RCSD1,2
8589,SCZ,REEP2,2
8597,SCZ,RERGL,2
8605,SCZ,RFX3,2
8615,SCZ,RGS10,2
8630,SCZ,RHOC,2
8635,SCZ,RIMKLA,2
8643,SCZ,RLIM,2
8650,SCZ,RNASE1,2
8653,SCZ,RNF111,2
8654,SCZ,RNF112,2
8657,SCZ,RNF123,2
8668,SCZ,RNF166,2
8677,SCZ,RNF6,2
8684,SCZ,RORA,2
9026,SCZ,RPE,2
9031,SCZ,RPL23AP79,2
9048,SCZ,RPS6KA4,2
9058,SCZ,RSBN1,2
9063,SCZ,RSPH9,2
9068,SCZ,RTN4R,2
9075,SCZ,RYBP,2
9096,SCZ,SAPCD2,2
9102,SCZ,SATB2-AS1,2
9103,SCZ,SBF2,2
9120,SCZ,SCN1B,4
9122,SCZ,SCN9A,3
9127,SCZ,SCRT1,2
9129,SCZ,SDC2,2
9141,SCZ,SEC14L5,2
9144,SCZ,SEC63,2
9150,SCZ,SELPLG,3
9153,SCZ,SEMA3G,2
9157,SCZ,SEMA7A,3
9167,SCZ,SEPW1,2
9176,SCZ,SERTAD4,3
9177,SCZ,SERTAD4-AS1,2
9178,SCZ,SERTM1,2
9198,SCZ,SGMS2,2
9204,SCZ,SH3BP1,3
9235,SCZ,SKIDA1,2
9240,SCZ,SLC12A2,2
9247,SCZ,SLC16A2,2
9271,SCZ,SLC25A30,2
9275,SCZ,SLC25A45,2
9276,SCZ,SLC25A46,2
9280,SCZ,SLC26A11,2
9284,SCZ,SLC27A4,2
9289,SCZ,SLC2A11,2
9294,SCZ,SLC30A10,2
9299,SCZ,SLC35B2,2
9302,SCZ,SLC35F2,2
9303,SCZ,SLC35F3,2
9304,SCZ,SLC35G1,2
9308,SCZ,SLC38A5,2
9327,SCZ,SLC48A1,2
9330,SCZ,SLC4A8,2
9334,SCZ,SLC6A11,2
9336,SCZ,SLC6A13,2
9339,SCZ,SLC7A3,2
9347,SCZ,SLCO2A1,2
9355,SCZ,SLITRK4,2
9399,SCZ,SNX22,2
9407,SCZ,SOCS2,2
9431,SCZ,SPAG17,2
9444,SCZ,SPHK2,2
9445,SCZ,SPICE1,2
9471,SCZ,SRD5A1,2
9481,SCZ,SRSF2,2
9482,SCZ,SRSF6,2
9483,SCZ,SSBP4,2
9496,SCZ,ST6GAL1,2
9498,SCZ,ST6GALNAC1,2
9531,SCZ,STON2,2
9549,SCZ,SUMF2,2
9558,SCZ,SYK,2
9560,SCZ,SYNDIG1,3
9568,SCZ,SYT10,2
9572,SCZ,SYT2,2
9579,SCZ,TACC3,2
9582,SCZ,TAF10,2
9588,SCZ,TAGAP,2
9590,SCZ,TAL1,2
9619,SCZ,TBXAS1,2
9628,SCZ,TCTA,2
9640,SCZ,TENM3,2
9682,SCZ,TIMP2,4
9684,SCZ,TINCR,3
9692,SCZ,TLK1,2
9713,SCZ,TMEM106C,2
9716,SCZ,TMEM119,2
9718,SCZ,TMEM125,2
9727,SCZ,TMEM155,2
9732,SCZ,TMEM169,2
9747,SCZ,TMEM196,2
9749,SCZ,TMEM200B,3
9758,SCZ,TMEM235,2
9762,SCZ,TMEM26,2
9765,SCZ,TMEM38A,3
9806,SCZ,TNFRSF18,2
9818,SCZ,TNNT1,2
9822,SCZ,TNS3,2
9850,SCZ,TRAF5,2
9858,SCZ,TRAPPC2L,2
9887,SCZ,TRMT61A,2
9891,SCZ,TRPC4,2
9902,SCZ,TSPAN2,2
9903,SCZ,TSPAN33,2
9913,SCZ,TTBK2,2
9940,SCZ,TUBGCP6,2
9946,SCZ,TXLNG,2
9948,SCZ,TXNDC17,2
9956,SCZ,TYW5,2
9958,SCZ,UBA3,2
9970,SCZ,UBL7,2
9988,SCZ,ULK3,3
10006,SCZ,UQCRQ,2
10023,SCZ,USP46,2
10037,SCZ,VAT1L,2
10040,SCZ,VCPIP1,2
10068,SCZ,VWA7,3
10069,SCZ,VWC2,2
10073,SCZ,WASL,2
10082,SCZ,WDR1,2
10102,SCZ,WNT2,2
10105,SCZ,WNT9A,2
10109,SCZ,WWC2,2
10118,SCZ,XXYLT1,2
10131,SCZ,YPEL1,2
10148,SCZ,ZBTB8B,2
10154,SCZ,ZC3HAV1,2
10165,SCZ,ZDHHC24,2
10196,SCZ,ZNF134,2
10207,SCZ,ZNF215,2
10227,SCZ,ZNF33A,2
10250,SCZ,ZNF483,4
10251,SCZ,ZNF491,2
10257,SCZ,ZNF518B,2
10274,SCZ,ZNF596,2
10275,SCZ,ZNF615,2
10280,SCZ,ZNF654,2
10295,SCZ,ZNF747,2
10298,SCZ,ZNF770,2
10305,SCZ,ZNF808,2
10307,SCZ,ZNF815P,2
10309,SCZ,ZNF827,2
10310,SCZ,ZNF831,3
10321,SCZ,ZSCAN1,2
